fact_id,cik,metric,concept,period_start,period_end,accession,filed,value,previous_value,change_amount,relative_change,source_sha,bronze_path
b582adfe565574a820dd4dee4fbdeb6b0ab71ccafa51976ad61354f93a22d0fa,1138118,equity,StockholdersEquity,,2022-12-31,0001138118-24-000006,2024-02-20,7853000000.0000,7853273000.0000,-273000.0000,-3.4762576062235454e-05,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
ff702cf0e419c03427357be1e8867d0b505767c76480419701984f1520c90b9c,1636222,liabilities,Liabilities,,2017-12-30,0001636222-19-000039,2019-02-27,178254000.0000,168088000.0000,10166000.0000,0.06048022464423397,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
86430c3cb3c8c2374a375e79bd8035d8811e19b98b27602b7ac5e9cbe77fcb17,732717,cash,CashAndCashEquivalentsAtCarryingValue,,2020-12-31,0000732717-23-000011,2023-02-13,7924000000.0000,9740000000.0000,-1816000000.0000,-0.1864476386036961,483db761a498797a4ba14df701a0404a8cc8d21b7409984eb1e722cb089f3dbb,bronze/cik=732717/483db761a498797a4ba14df701a0404a8cc8d21b7409984eb1e722cb089f3dbb.json.gz
8314767d417a9681cda070739d8c2ff5df1530cb5d6e584b50f22f723a52cef2,1138118,assets,Assets,,2022-12-31,0001138118-24-000006,2024-02-20,20513000000.0000,20513389000.0000,-389000.0000,-1.896322445793818e-05,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
6d75efcc9f2218ac6557a373f918edd8e8e6a26bd04b91c906a761e5989e9dcb,1138118,cash,CashAndCashEquivalentsAtCarryingValue,,2022-12-31,0001138118-24-000006,2024-02-20,1318000000.0000,1318290000.0000,-290000.0000,-0.00021998194630923394,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
317414b326f0f3198ae1e2b07c2881722216ae883413716a980187497361ac94,1138118,net_income,NetIncomeLoss,2016-01-01,2016-12-31,0001564590-19-005666,2019-03-01,573079000.0000,571973000.0000,1106000.0000,0.0019336577076190659,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
245c533510a6526ec52e3e33f32399bf1526837c2ef9506360507a39d2ff6a3d,1138118,net_income,NetIncomeLoss,2022-01-01,2022-12-31,0001138118-24-000006,2024-02-20,1407000000.0000,1407370000.0000,-370000.0000,-0.0002629017244932036,193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56,bronze/cik=1138118/193c8399edd08710c2458b7fa91716d3a03d67cbbffaaa85401125b8b0d4cc56.json.gz
f804f83b974348d61475d4a6d1f7dddb11a8bb9d38f43591f3fcdf0e0cc1c1a2,1636222,equity,StockholdersEquity,,2017-12-30,0001636222-19-000039,2019-02-27,-58418000.0000,-48252000.0000,-10166000.0000,-0.21068556743761915,b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766,bronze/cik=1636222/b06e063a6d131b5a898269149242bf8d588aca401bcbf127028a748238368766.json.gz
806a5c4e8ab199980335aaeb9a65a07875a11cd7c6f381db8f834daceee69cdd,92380,current_liabilities,LiabilitiesCurrent,,2017-12-31,0000092380-19-000022,2019-02-05,6863000000.0000,6905000000.0000,-42000000.0000,-0.0060825488776249095,7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b,bronze/cik=92380/7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b.json.gz
44236b4e9dbe623a7a00e6ee4a91452fa1137c3b4d5b7c93194ac22205d1af84,703351,revenue,Revenues,2017-06-29,2018-06-27,0000703351-19-000037,2019-08-22,3135400000.0000,3135417000.0000,-17000.0000,-5.421926333881585e-06,0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088,bronze/cik=703351/0e2fe98839a06982b89b3c274098fd69bc227124bb5457bdc64e5a8059a19088.json.gz
